review,rating,date,bank,source,sentiment_label,sentiment_score,nouns,identified_theme,noun_text
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-25,CBE,Google Play,NEUTRAL,0.0,['ነነሠነሠሠነሠሠሠሠነየነ'],Other,ነነሠነሠሠነሠሠሠሠነየነ
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play,NEUTRAL,0.0,"['time', 'money', 'day']",Account & Transactions,time money day
Attractive,5,2025-10-25,CBE,Google Play,POSITIVE,0.8,[],Other,
mite,5,2025-10-24,CBE,Google Play,NEUTRAL,0.0,['mite'],Other,mite
useful,5,2025-10-23,CBE,Google Play,POSITIVE,0.3,[],Other,
"not good, not bad!",3,2025-10-23,CBE,Google Play,NEUTRAL,0.043749999999999956,[],Other,
very good,5,2025-10-23,CBE,Google Play,POSITIVE,0.9099999999999999,[],Other,
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play,NEUTRAL,0.0,"['እጅግ', 'በጣም', 'አስቀያሚ', 'ጠቁአም', 'ዘረፋ', 'በሚባል', 'ደርጃ', 'የ', 'አገልግሎት', 'የሚቀበል', 'ያልሰራበትን', 'የገዛ', 'ገንዝበባችንን', '100ብር', '10ብር', 'የአገልግሎት', 'ማስከፈል', 'ምን', 'ማለት', 'ነው', 'እባካችሁ', 'እዩት', 'እስትይ', 'ከ', 'ሞባይል', 'ባንክ', 'ወደ', 'ampsa', 'አስተላልፉና', 'እዩት', 'በጣም', 'ይገርማል', 'ሌባ']",Other,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ
imp,5,2025-10-22,CBE,Google Play,NEUTRAL,0.0,[],Other,
super fast app,5,2025-10-21,CBE,Google Play,POSITIVE,0.26666666666666666,['app'],User Interface & Experience,app
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play,POSITIVE,0.16018518518518515,"['app', 'design', 'feature', 'balance', 'check', 'transfer', 'user', 'developer', 'options', 'banking', 'app', 'people', 'developer', 'mode', 'reason', 'performance', 'issue', 'restriction', 'login', 'security', 'convenience']",User Interface & Experience,app design feature balance check transfer user developer options banking app people developer mode reason performance issue restriction login security convenience
cbe,4,2025-10-18,CBE,Google Play,NEUTRAL,0.0,['cbe'],Other,cbe
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play,POSITIVE,0.5,"['work', 'device']",Other,work device
blah blah blah,5,2025-10-17,CBE,Google Play,NEUTRAL,0.0,[],Other,
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play,NEGATIVE,-0.6999999999999998,"['ግዴታ', 'መሆንሁ']",Other,ግዴታ መሆንሁ
CBE no.1,5,2025-10-17,CBE,Google Play,NEUTRAL,0.0,"['cbe', 'no.1']",Other,cbe no.1
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play,NEUTRAL,0.0,[],Other,
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play,POSITIVE,0.2533333333333333,"['easy', 'bank', 'ethiopia', 'time', 'update']",Other,easy bank ethiopia time update
gooof,5,2025-10-16,CBE,Google Play,NEUTRAL,0.0,['gooof'],Other,gooof
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play,NEUTRAL,-0.038888888888888896,"['cbe', 'application', 'callcenter', 'branch', 'cbe', 'silassie', 'branch', 'form', 'customer', 'case', 'turn', 'ppl', 'banking', 'atm', 'card', 'case', 'work', 'service.why']",User Interface & Experience,cbe application callcenter branch cbe silassie branch form customer case turn ppl banking atm card case work service.why
Best app,5,2025-10-15,CBE,Google Play,POSITIVE,1.0,['app'],User Interface & Experience,app
still not perfect like before,1,2025-10-15,CBE,Google Play,NEGATIVE,-0.5,[],Other,
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play,NEGATIVE,-0.07500000000000001,"['app', 'dash', 'board', 'traxation', 'balance', 'other', 'option', 'dashboard', 'risk', 'app', '😭', '😭', '🤤']",User Interface & Experience,app dash board traxation balance other option dashboard risk app 😭 😭 🤤
APPLIED,1,2025-10-14,CBE,Google Play,NEUTRAL,0.0,[],Other,
10 years ago,4,2025-10-14,CBE,Google Play,NEUTRAL,0.0,['year'],Other,year
Asefa Obsa,5,2025-10-14,CBE,Google Play,NEUTRAL,0.0,"['asefa', 'obsa']",Other,asefa obsa
it's good app,5,2025-10-14,CBE,Google Play,POSITIVE,0.7,['app'],User Interface & Experience,app
very slow,1,2025-10-14,CBE,Google Play,NEGATIVE,-0.39000000000000007,[],Other,
berhan deriba wami,4,2025-10-13,CBE,Google Play,NEUTRAL,0.0,"['berhan', 'deriba', 'wami']",Other,berhan deriba wami
mahamad Usman,5,2025-10-13,CBE,Google Play,NEUTRAL,0.0,['usman'],Other,usman
Erako,5,2025-10-13,CBE,Google Play,NEUTRAL,0.0,['erako'],Other,erako
